Id,season,city,date,team1,team2,result,winner,player_of_match
1,2017,Hyderabad,4/5/2017,Sunrisers Hyderabad,Royal Challengers Bangalore,normal,Sunrisers Hyderabad,Yuvraj Singh
2,2017,Pune,4/6/2017,Mumbai Indians,Rising Pune Supergiant,normal,Rising Pune Supergiant,SPD Smith
3,2017,Rajkot,4/7/2017,Gujarat Lions,Kolkata Knight Riders,normal,Kolkata Knight Riders,CA Lynn
4,2017,Indore,4/8/2017,Rising Pune Supergiant,Kings XI Punjab,normal,Kings XI Punjab,GJ Maxwell
5,2017,Bangalore,4/8/2017,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore,KM Jadhav
6,2017,Hyderabad,4/9/2017,Gujarat Lions,Sunrisers Hyderabad,normal,Sunrisers Hyderabad,Rashid Khan
7,2017,Mumbai,4/9/2017,Kolkata Knight Riders,Mumbai Indians,normal,Mumbai Indians,N Rana
8,2017,Indore,4/10/2017,Royal Challengers Bangalore,Kings XI Punjab,normal,Kings XI Punjab,AR Patel
9,2017,Pune,4/11/2017,Delhi Daredevils,Rising Pune Supergiant,normal,Delhi Daredevils,SV Samson
10,2017,Mumbai,4/12/2017,Sunrisers Hyderabad,Mumbai Indians,normal,Mumbai Indians,JJ Bumrah
11,2017,Kolkata,4/13/2017,Kings XI Punjab,Kolkata Knight Riders,normal,Kolkata Knight Riders,SP Narine
12,2017,Bangalore,4/14/2017,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians,KA Pollard
13,2017,Rajkot,4/14/2017,Rising Pune Supergiant,Gujarat Lions,normal,Gujarat Lions,AJ Tye
14,2017,Kolkata,4/15/2017,Kolkata Knight Riders,Sunrisers Hyderabad,normal,Kolkata Knight Riders,RV Uthappa
15,2017,Delhi,4/15/2017,Delhi Daredevils,Kings XI Punjab,normal,Delhi Daredevils,CJ Anderson
16,2017,Mumbai,4/16/2017,Gujarat Lions,Mumbai Indians,normal,Mumbai Indians,N Rana
17,2017,Bangalore,4/16/2017,Rising Pune Supergiant,Royal Challengers Bangalore,normal,Rising Pune Supergiant,BA Stokes
18,2017,Delhi,4/17/2017,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders,NM Coulter-Nile
19,2017,Hyderabad,4/17/2017,Sunrisers Hyderabad,Kings XI Punjab,normal,Sunrisers Hyderabad,B Kumar
20,2017,Rajkot,4/18/2017,Royal Challengers Bangalore,Gujarat Lions,normal,Royal Challengers Bangalore,CH Gayle
21,2017,Hyderabad,4/19/2017,Sunrisers Hyderabad,Delhi Daredevils,normal,Sunrisers Hyderabad,KS Williamson
22,2017,Indore,4/20/2017,Kings XI Punjab,Mumbai Indians,normal,Mumbai Indians,JC Buttler
23,2017,Kolkata,4/21/2017,Kolkata Knight Riders,Gujarat Lions,normal,Gujarat Lions,SK Raina
